Date,Cases
28-03-21,304
29-03-21,258
30-03-21,496
31-03-21,582
01-04-21,538
02-04-21,308
03-04-21,308
04-04-21,308
05-04-21,354
06-04-21,684
07-04-21,907
08-04-21,877
09-04-21,914
10-04-21,891
11-04-21,482
12-04-21,469
13-04-21,957
14-04-21,1069
15-04-21,1121
16-04-21,1044
17-04-21,1060
18-04-21,664
19-04-21,536
20-04-21,1130
21-04-21,1531
22-04-21,1776
23-04-21,1656
24-04-21,1830
25-04-21,1277
26-04-21,1203
27-04-21,1927
28-04-21,2434
29-04-21,2781
30-04-21,2609
01-05-21,1991
02-05-21,1839
03-05-21,1855
04-05-21,1304
05-05-21,2555
06-05-21,2559
07-05-21,2392
08-05-21,1997
09-05-21,1997
10-05-21,1998
11-05-21,2236
12-05-21,3173
13-05-21,3039
14-05-21,2815
15-05-21,1961
16-05-21,1961
17-05-21,1963
18-05-21,2294
19-05-21,2900
20-05-21,2812
21-05-21,2587
22-05-21,1770
23-05-21,1770
24-05-21,1770
25-05-21,2370
26-05-21,2587
27-05-21,2436
28-05-21,2180
29-05-21,1628
30-05-21,1628
31-05-21,1628
01-06-21,2293
02-06-21,2319
03-06-21,2181
04-06-21,2200
05-06-21,1313
06-06-21,1313
07-06-21,1315
08-06-21,1900
09-06-21,2287
